,sequence,drug,unobstructed,h_bond_bridging,orthogonal_planes
0,CC1(C)C(=O)NC1S(=O)(=O)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
1,CC1C(=O)NC1S(=O)(=O)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
2,OC1=CC=CC(O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
3,C(=CC1=CC=NC=C1)C1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
4,C1=NC=CC(C2C(C3=CC=NC=C3)C(C3=CC=NC=C3)C2C2=CC=NC=C2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
5,COC1=CC(O)=CC(O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
6,C(=CC1=CC=CC=N1)C1=CC=CC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
7,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
8,OC1=CC=C(O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
9,NC(=O)CN1CCCC1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
10,O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
11,C(#CC1=CC=CC=N1)C1=CC=CC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
12,NC(=O)C1=CC=CN=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
13,O=C(O)C1=CC2=CC=CC=C2C=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
14,O=C(O)C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
15,C1=CC=C2C(=C1)C=CC1=CC=C3C=CC4=CC=C5C=CC=CC5=C4C3=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
16,N#CC(C#N)=C1C=CC(=C(C#N)C#N)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
17,O=C(O)C1=CC(C(=O)O)=CC([N+](=O)[O-])=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
18,C1=CC=C2C(=C1)C=CC1=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
19,CC(=O)C=C(C)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
20,CC1=C(C2=C(C)C=C3C(C(C)C)=C(O)C(O)=C(C=O)C3=C2O)C(O)=C2C(C=O)=C(O)C(O)=C(C(C)C)C2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
21,COC(=O)N1C=NC(C(N)=O)=C1N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
22,CN1N=NC2=C(C(N)=O)N=CN2C1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
23,NC1=CC=CC=C1C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
